University	Research Area	Domain
China National Nuclear Corporation	Power engineering and engineering thermophysics	cnnc.com.cn
Naval University of Engineering	Power engineering and engineering thermophysics	
Shandong University	Power engineering and engineering thermophysics	sdu.edu.cn
Air Force Medical University	Psychological sciences	
Officers College of the PAP	Psychological sciences	
Academy of Military Science	Quantum	
Chinese Academy of Engineering Physics	Quantum	caep.cn
National University of Defense Technology	Quantum	nudt.edu.cn
Peking University	Quantum	pku.edu.cn
University of Science and Technology of China	Quantum	ustc.edu.cn
Beijing University of Posts and Telecommunications	Robotics	bupt.edu.cn
Harbin Engineering University	Robotics	hrbeu.edu.cn
Shanghai University	Robotics	shu.edu.cn
Beijing Institute of Technology	Seven Sons of National Defence	bit.edu.cn
Northwestern Polytechnical University	Seven Sons of National Defence	nwpu.edu.cn
Beihang University	Stealth technology	buaa.edu.cn
Fudan University	Stealth technology	fudan.edu.cn
Harbin Engineering University	Stealth technology	hrbeu.edu.cn
Lanzhou University	Stealth technology	lzu.edu.cn
University of Electronic Science and Technology of China	Stealth technology	uestc.edu.cn
Beihang University	Surveying and mapping	buaa.edu.cn
China Electronics Technology Group Corporation	Surveying and mapping	cetc.com.cn
Dalian Naval Academy	Surveying and mapping	dlut.edu.cn
East China University of Technology	Surveying and mapping	ecut.edu.cn
Information Engineering University	Surveying and mapping	plaieu.edu.cn
Nanjing Normal University	Surveying and mapping	njnu.edu.cn
Naval Research Academy	Surveying and mapping	
Navy Submarine Academy	Surveying and mapping	
Wuhan University	Surveying and mapping	whu.edu.cn
Donghua University	Textile Science and Engineering	dhu.edu.cn
Logistics University of the People’s Armed Police Force	Traffic and transportation engineering	
Railway Police College	Traffic and transportation engineering	
Shijiazhuang Tiedao University	Traffic and transportation engineering	stdu.edu.cn
